domain_name,logo_url,status
astrazeneca.ua,https://astrazeneca.ua,Success
autosecuritas-ct-seysses.fr,https://www.autosecuritas.fr/public/img/showcase/autosecuritas-logo.svg,Success
mazda-autohaus-hellwig-hoyerswerda.de,https://www.assets.mazda-autohaus.de/assets/img/favicons/apple-touch-icon.png,Success
ebay.cn,https://www.ebay.cn/favicon.ico,Success
wurth-international.com,https://wurth-international.com/system/layout_wl2bootstrap/bootstrap_system_images/touchicons/touchicon_wuerth_res_wl2_touch_57.png,Success
kia-moeller-wunstorf.de,https://www.kia-moeller-wunstorf.de//etc.clientlibs/settings/wcm/designs/eut/clientlib/resources/rbr/kia-company-logo.jpg,Success
ccusa.co.nz,https://ccusa.co.nz/wp-content/uploads/2023/02/favicon_noGlobeRound-300x300.png,Success
crocs.com.uy,https://www.crocs.com.uy/public/web/img/logo-og.png,Success
engie.co.uk,https://www.engie.co.uk/wp-content/uploads/2025/01/cropped-Royal-Highness-King-Charles-III-on-9-May-1984-2-180x180.png,Success
ibc-solar.jp,https://www.ibc-solar.com/fileadmin/_processed_/b/5/csm_IBC-SOLAR-Energy-for-a-better-world_2ad75978f0.jpg,Success
lidl.com.cy,https://lidl.com.cy/cdn/assets/logos/1.0.1/lidl-logo-shop-cdn.svg,Success
nobleprog.mx,https://www.nobleprog.mx/npfrontend/assets/images/opengraph/nobleprog-website.svg,Success
freseniusmedicalcare.ca,https://freseniusmedicalcare.ca,Success
synlab.com.tr,https://synlab.com.tr/templates/synlab/favicon.ico,Success
avis.cr,https://avis.cr/apple-touch-icon.png,Success
ebayglobalshipping.com,https://www.ebayglobalshipping.com/themes/custom/custom_barrio/app/images/egs_meta_image_logo.png,Success
affidea.ba,https://affidea.ba/wp-content/uploads/2021/09/IMG_1938-scaled.jpg,Success
bakertilly.lu,https://bti-global.transforms.svdcdn.com/production/network/luxembourg/images/17-GS-image-1.jpg?w=2880&h=960&auto=compress%2Cformat&fit=crop&dm=1732092776&s=5ef9568cf26745e73a71a6512d972b23,Success
spitex-wasseramt.ch,https://spitex-wasseramt.ch/img/spitex2014/default/apple-touch-icon.png,Success
aamcoanaheim.net,https://aamcoanaheim.net/images/IconAAMCOnew.ico,Success
deheus.com.vn,https://www.deheus.com.vn/globalassets/dh_world_food_day.png,Success
veolia.com.ru,https://veolia.com.ru/themes/custom/veo_site/src/assets/icons/favicon.ico,Success
aamcoconyersga.com,https://aamcoconyersga.com/images/IconAAMCOnew.ico,Success
renault-tortosa.es,https://renault-tortosa.es/media/renault-tortosa.es/inicio/730x546/renault-austral-e-tech-full-hybrid.webp,Success
oil-testing.de,https://oil-testing.de/wp-content/uploads/2019/08/lubricating-oil@2x.png,Success
baywa-re.es,https://baywa-re.es/favicon.png,Success
menschenfuermenschen.at,https://www.menschenfuermenschen.at/upload/image/mfm-web-startseite-hero-element-bild-baby-7S3A1422.jpg,Success
europa-union-sachsen-anhalt.de,https://europa-union-sachsen-anhalt.de/typo3conf/ext/skeud/Resources/Public/Icons/eud.ico,Success
wurthsaudi.com,https://wurthsaudi.com/assets/img/apple-touch-icon1.png,Success
pirtek.be,https://www.pirtek.be/wp-content/uploads/2021/03/PIR_rgb_favicon-32.png,Success
aamcoseguin.com,https://www.aamcoseguin.com/wp-content/uploads/2018/11/cropped-AAMCO_favicon-180x180.png,Success
bakertilly.es,https://bti-global.transforms.svdcdn.com/production/network/spain/images/Home/baker-tilly-home3.jpg?w=1200&h=630&q=82&auto=format&fit=crop&dm=1707909194&s=05dfa8473f2b93c9442771761861f15d,Success
mazda-autohaus-kaschmieder-waren.de,https://www.assets.mazda-autohaus.de/assets/img/favicons/apple-touch-icon.png,Success
allianz.nl,https://www.allianz.nl/content/dam/onemarketing/system/AZ_Logo_MSTeams_257x193px.png,Success
xella-colloquium.berlin,https://hrtcn.net/bugistoto.png,Success
berlitz-augsburg.de,https://www.berlitz-augsburg.de/images/berlitz-sprachschule-augsburg-1200w.webp,Success
bmw-motorrad-euromotos-lyon.fr,https://bmw-motorrad-euromotos-lyon.fr/img/favicon.ico?1669278719,Success
rsmpoland.pl,https://www.rsmpoland.pl/themes/custom/rsm_poland/images/favicons/apple-touch-icon-60x60.png,Success
secureparkinghi.com,https://www.secureparkinghi.com/wp-content/uploads/2021/10/Favicon.png,Success
trinkgutlippstadt.de,https://trinkgutgeilenkirchen.de/wp-content/uploads/2014/02/favicon.png,Success
bauder.lt,https://bauder.lt/fileadmin/bilder/allgemein/icons/bauder_ipad_icon.png,Success
savethechildren.ca,https://www.savethechildren.ca/wp-content/uploads/2023/11/CH1822791_Georgette-smiles-and-plays-with-her-grandson-Dhelo.webp,Success
